navn,rating
slikkepinden,3.555555555555556
levin,2.0
1001,1.8833333333333333
sodavand,1.8333333333333333
nara,1.8333333333333333
active,1.8125
silas,1.8125
pleje-enheden,1.75
beirut,1.75
bazaren,1.75
japanske,1.7291666666666667
slikhuset,1.7
bræddehytten,1.6666666666666667
kingo,1.6666666666666667
slikboden,1.6666666666666667
hellebæk,1.6666666666666667
absalonhus,1.65
great,1.625
løvdalen,1.625
ramme,1.625
sila,1.59375
yoghurt,1.5833333333333335
balance,1.5833333333333333
daily,1.5833333333333333
cherry,1.5625
sydhavns,1.5625
chuck,1.5625
slik,1.5586419753086418
rønshave,1.55
rajissimo,1.5416666666666667
svanepunktet,1.5333333333333334
khan,1.5277777777777777
marker,1.5208333333333333
handicap-basis,1.5
xie,1.5
"gefionshave,",1.5
worldwide,1.5
sodavands,1.5
pizza/,1.5
whsmith,1.5
havegruppen,1.5
samskip,1.5
salam,1.5
mango,1.5
lidt,1.5
mermaid,1.5
blomsterhusene,1.5
stenhusbakken,1.5
slikland,1.4895833333333335
candy,1.4836309523809526
